Feature,Chi-Square,P-Val
lang_entropy,20.76014003382115,3.104508618839248e-05
p_switch,2.633904023872271,0.26795076931372724
burst,34.131857500653226,3.875799614418925e-08
span_entropy,65.61040400471812,5.660851896008499e-15
memory,4.653078864340342,0.09763302887855038
v,334.3449882595712,2.4998173239383527e-73
f1,95.01985736315726,2.3264843636315356e-21
f2,61.57862915839366,4.249820397874846e-14
mean_hi,128.92638032592737,1.009234821113922e-28
stddev_hi,121.26325338879265,4.656065678063349e-27
mean_en,183.62876415109702,1.3351206258514133e-40
stddev_en,417.6432585083719,2.0413558272050272e-91
span_mean,168.92596168478926,2.080623479142559e-37
span_std,352.31849164847347,3.1261628823023744e-77
hi_span_mean,990.286530993419,9.162458977669763e-216
hi_span_std,438.48845059877016,6.073552128376395e-96
en_span_mean,858.0362687860295,4.784004689391308e-187
en_span_std,43.481622389325814,3.614811589905605e-10
l2_mean,56.33250844495916,5.855327827075292e-13
l2_std,2.3097600995837415,0.3150953303871604
cos_mean,0.14033819178361207,0.9322361692708698
cos_std,3.1889629498163115,0.2030137689484698
