batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
32,2e-05,0.001,0.6051682692307693,0.6026962727993656,0.6030807739339226,0.5994791666666667,0.6023809523809524,0.6024624606692806
32,2e-05,0.0001,0.6117788461538461,0.6082474226804123,0.6057967483526709,0.5947916666666667,0.5976190476190476,0.5946572177448086
32,3e-05,0.001,0.5973557692307693,0.5947660586835845,0.5959366014544437,0.5942708333333333,0.5944444444444444,0.5967308065254007
32,3e-05,0.0001,0.5977163461538462,0.5939730372720063,0.5938314763617908,0.5927083333333333,0.5968253968253968,0.5965620465444889
32,5e-05,0.001,0.5919471153846154,0.591593973037272,0.5884069167852609,0.60078125,0.6023809523809524,0.5995693433524796
32,5e-05,0.0001,0.5810096153846154,0.5804916732751785,0.577002743593218,0.60078125,0.6023809523809524,0.6003545594412468
batch_size,lr1,lr2,test_acc,test_micro,test_macro,val_acc,val_micro,val_macro
16,2e-05,0.001,0.6038826679649464,0.6034892942109437,0.5990391708053009,0.5973101265822784,0.5976190476190476,0.5934161641086787
16,2e-05,0.0001,0.6015092502434274,0.6011102299762093,0.5935907260867423,0.6062763713080169,0.6063492063492063,0.5975516566979553
16,3e-05,0.001,0.6094206426484907,0.6090404440919904,0.598439300891843,0.600210970464135,0.6007936507936508,0.5902320439417214
16,3e-05,0.0001,0.5813656280428432,0.5812846946867566,0.5770541969061669,0.6165611814345991,0.6166666666666667,0.613661374843576
16,5e-05,0.001,0.5514849074975657,0.5511498810467883,0.545388640691075,0.5369198312236286,0.5380952380952381,0.532569058381855
16,5e-05,0.0001,0.5623782862706913,0.5622521808088818,0.5632696046454927,0.5630274261603375,0.5634920634920635,0.5645677096052096
